,City,SolarUnitCount,County,Pop_2010,Area_SqMi
760,Pine Grove,25,,0,0
761,Pine Mountain Club,1,,0,0
762,Pine Valley,9,,0,0
763,Pinedale,4,,0,0
764,Pinole,56,Contra Costa,18390,5.32
765,Pinon Hills,49,,0,0
766,Pioneer,15,,0,0
767,Pioneertown,7,,0,0
768,Piru,64,,0,0
769,Pismo Beach,24,San Luis Obispo,7655,3.6
770,Pittsburg,156,Contra Costa,63264,17.22
771,Pixley,29,,0,0
772,Placentia,426,Orange,50533,6.57
773,Placerville,263,El Dorado,10389,5.81
774,Planada,10,,0,0
775,Platina,1,,0,0
776,Pleasant Grove,26,,0,0
777,Pleasant Hill,216,Contra Costa,33152,7.07
778,Pleasanton,894,Alameda,70285,24.11
779,Pls Vrds Est,1,,0,0
780,Plumas Lake,61,,0,0
781,Plymouth,46,Amador,1005,0.93
782,Point Arena,29,Mendocino,449,1.35
783,Point Loma,2,,0,0
784,Point Reyes Station,35,,0,0
785,Point Richmond,7,,0,0
786,Pollock Pines,9,,0,0
787,Pomona,337,Los Angeles,149058,22.95
788,Pope Valley,3,,0,0
789,Poplar,2,,0,0
790,Port Hueneme,11,Ventura,21723,4.45
791,Port Hueneme Cbc Base,1,,0,0
792,Porterville,581,Tulare,54165,17.61
793,Portola Hills,2,,0,0
794,Portola Valley,160,San Mateo,4353,9.09
795,Posey,1,,0,0
796,Potrero,12,,0,0
797,Potter Valley,14,,0,0
798,Poway,956,San Diego,47811,39.08
799,Prather,28,,0,0
800,Princeton,7,,0,0
801,Proberta,1,,0,0
802,Prunedale,11,,0,0
803,Quail Valley,27,,0,0
804,Quartz Hill,92,,0,0
805,Quincy,20,,0,0
806,Rail Road Flat,5,,0,0
807,Rainbow,1,,0,0
808,Raisin City,1,,0,0
809,Ramona,766,,0,0
810,Ranchita,4,,0,0
811,Rancho Belago,1,,0,0
812,Rancho Bernardo,7,,0,0
813,Rancho California,1,,0,0
814,Rancho Cucamonga,1014,San Bernardino,165269,39.85
815,Rancho Dominguez,2,,0,0
816,Rancho La Costa,8,,0,0
817,Rancho Mirage,773,Riverside,17218,24.45
818,Rancho Palos Verdes,488,Los Angeles,41643,13.46
819,Rancho Santa Fe,180,,0,0
820,Rancho Santa Margarita,238,Orange,47853,12.96
821,Raymond,16,,0,0
822,Rch Cucamonga,13,,0,0
823,Rch Palos Vrd,2,,0,0
824,Rcho Santa Fe,1,,0,0
825,Red Bluff,195,Tehama,14076,7.56
826,Redding,247,Shasta,89861,59.65
827,Redlands,882,San Bernardino,68747,36.13
828,Redondo Beach,276,Los Angeles,66747,6.2
829,Redway,4,,0,0
830,Redwood City,379,San Mateo,76815,19.42
831,Redwood Valley,36,,0,0
832,Reedley,139,Fresno,24194,5.08
833,Rescue,87,,0,0
834,Rialto,287,San Bernardino,99171,22.35
835,Richgrove,11,,0,0
836,Richmond,380,Contra Costa,103701,30.07
837,Richvale,14,,0,0
838,Ridgecrest,363,Kern,27616,20.77
839,Rio Dell,1,Humboldt,3368,2.28
840,Rio Oso,19,,0,0
841,Rio Vista,37,Solano,7360,6.69
842,Ripley,1,,0,0
843,Ripon,87,San Joaquin,14297,5.3
844,Riverbank,27,Stanislaus,22678,4.09
845,Riverdale,17,,0,0
846,Riverside,1131,Riverside,303871,81.14
847,Rllng Hls Est,1,,0,0
848,Robbins,2,,0,0
849,Robinson Ranch,17,,0,0
850,Rocklin,854,Placer,56974,19.54
851,Rodeo,14,,0,0
852,Rohnert Park,163,Sonoma,40971,7
853,Rolling Hills,46,Los Angeles,1860,2.99
854,Rolling Hills Estates,73,Los Angeles,8067,3.57
855,Romoland,101,,0,0
856,Rosamond,258,,0,0
857,Rosemead,108,Los Angeles,53764,5.16
858,Roseville,52,Placer,118788,5.16
859,Rosewood,1,,0,0
860,Ross,35,Marin,2415,1.56
861,Rossmoor,16,,0,0
862,Rough And Ready,27,,0,0
863,Round Mountain,1,,0,0
864,Rowland Heights,231,,0,0
865,Rowland Hghts,2,,0,0
866,Royal Oaks,2,,0,0
867,Rubidoux,4,,0,0
868,Rumsey,1,,0,0
869,Running Springs,7,,0,0
870,Rutherford,26,,0,0
871,S Pasadena,2,,0,0
872,Sacramento,3,Sacramento,466488,97.92
873,Saint Helena,156,,0,0
874,Salinas,313,Monterey,150441,23.18
875,Salyer,3,,0,0
876,San Andreas,17,,0,0
877,San Anselmo,134,Marin,12336,2.68
878,San Bernardino,685,San Bernardino,209924,59.2
879,San Bruno,90,San Mateo,41114,5.48
880,San Carlos,248,San Mateo,28406,5.54
881,San Clemente,331,Orange,63522,18.71
882,San Diego,6728,San Diego,1301617,325.19
883,San Dimas,196,Los Angeles,33371,15.04
884,San Fernando,55,Los Angeles,23645,2.37
885,San Francisco,4132,San Francisco,805235,46.87
886,San Gabriel,212,Los Angeles,39718,4.14
887,San Geronimo,5,,0,0
888,San Jacinto,331,Riverside,44199,25.72
889,San Joaquin,6,Fresno,4001,1.15
890,San Jose,4984,Santa Clara,945942,176.53
891,San Juan Bautista,24,San Benito,1862,0.71
892,San Juan Capistrano,146,Orange,34593,14.12
893,San Juan Capo,3,,0,0
894,San Leandro,151,Alameda,84950,13.34
895,San Lorenzo,40,,0,0
896,San Lucas,1,,0,0
897,San Luis Obispo,424,San Luis Obispo,45119,12.78
898,San Marcos,517,San Diego,83781,24.37
899,San Marino,144,Los Angeles,13147,3.77
900,San Martin,86,,0,0
901,San Mateo,329,San Mateo,97207,12.13
902,San Miguel,72,,0,0
903,San Pablo,30,Contra Costa,29139,2.63
904,San Pedro,2,,0,0
905,San Quentin,1,,0,0
906,San Rafael,429,Marin,57713,16.47
907,San Ramon,503,Contra Costa,72148,18.06
908,San Ysidro,18,,0,0
909,Sanger,204,Fresno,24270,5.52
910,Santa Ana,875,Orange,324528,27.27
911,Santa Barbara,1017,Santa Barbara,88410,19.47
912,Santa Clara,7,Santa Clara,116468,18.41
913,Santa Clarita,1077,Los Angeles,176320,52.72
914,Santa Cruz,814,Santa Cruz,59946,12.74
915,Santa Fe Springs,33,Los Angeles,16223,8.87
916,Santa Margarita,18,,0,0
917,Santa Maria,164,Santa Barbara,99553,22.76
918,Santa Monica,489,Los Angeles,89736,8.41
919,Santa Paula,64,Ventura,29321,4.59
920,Santa Rosa,1630,Sonoma,167815,41.29
921,Santa Rosa Va,6,,0,0
922,Santa Rosa Valley,42,,0,0
923,Santa Ynez,103,,0,0
924,Santa Ysabel,13,,0,0
925,Santee,447,San Diego,53413,16.24
926,Saratoga,570,Santa Clara,29926,12.38
927,Saugus,336,,0,0
928,Sausalito,64,Marin,7061,1.77
929,Scotia,1,,0,0
930,Scotts Valley,141,Santa Cruz,11580,4.59
931,Seal Beach,167,Orange,24168,11.29
932,Seaside,47,Monterey,33025,9.24
933,Sebastopol,624,Sonoma,7379,1.85
934,Selma,111,Fresno,23219,5.14
935,Sequoia National Park,1,,0,0
936,Shafter,83,Kern,16988,27.94
937,Shandon,4,,0,0
938,Shasta,5,,0,0
939,Shasta Lake,2,Shasta,10164,10.92
940,Shaver Lake,4,,0,0
941,Sheep Ranch,1,,0,0
942,Shell Beach,2,,0,0
943,Sheridan,5,,0,0
944,Sherman Oaks,1,,0,0
945,Shingle Springs,218,,0,0
946,Shingletown,30,,0,0
947,Shoshone,1,,0,0
948,Sierra Madre,107,Los Angeles,10917,2.95
949,Signal Hill,31,Los Angeles,11016,2.19
950,Silver Lake,1,,0,0
951,Silverado,18,,0,0
952,Simi Valley,1483,Ventura,124237,41.48
953,Smartsville,18,,0,0
954,Smartville,2,,0,0
955,Sn Bernrdno,1,,0,0
956,Snelling,17,,0,0
957,Solana Beach,142,San Diego,12867,3.52
958,Soledad,35,Monterey,25738,4.41
959,Solvang,54,Santa Barbara,5245,2.43
960,Somerset,24,,0,0
961,Somis,42,,0,0
962,Sonoma,493,Sonoma,10648,2.74
963,Sonora,114,Tuolumne,4903,3.06
964,Soquel,134,,0,0
965,Soulsbyville,7,,0,0
966,South El Monte,28,Los Angeles,20116,2.84
967,South Gate,72,Los Angeles,94396,7.24
968,South Laguna,4,,0,0
969,South Pasadena,142,Los Angeles,25619,3.41
970,South San Francisco,114,San Mateo,63632,9.14
971,Spreckels,2,,0,0
972,Spring Valley,318,,0,0
973,Springville,79,,0,0
974,Squaw Valley,22,,0,0
975,Stallion Springs,3,,0,0
976,Stanford,50,,0,0
977,Stanton,30,Orange,38186,3.15
978,Stevenson Ranch,334,,0,0
979,Stevenson Rnh,1,,0,0
980,Stevinson,10,,0,0
981,Stewarts Point,1,,0,0
982,Stewarts Point Rancheria,1,,0,0
983,Stinson Beach,31,,0,0
984,Stockton,617,San Joaquin,291707,61.67
985,Stratford,9,,0,0
986,Strathmore,53,,0,0
987,Suisun City,54,Solano,28111,4.11
988,Sultana,1,,0,0
989,Summerland,2,,0,0
990,Summit,1,,0,0
991,Sun City,367,,0,0
992,Sunnyvale,588,Santa Clara,140081,21.99
993,Sunol,12,,0,0
994,Sunset Beach,4,,0,0
995,Surfside,5,,0,0
996,Sutter,23,,0,0
997,Sutter Creek,42,Amador,2501,2.56
998,Swall Meadows,7,,0,0
999,Sylmar,9,,0,0
1000,Taft,68,Kern,9327,15.11
1001,Taylorsville,3,,0,0
1002,Tecate,1,,0,0
1003,Tecopa,2,,0,0
1004,Tehachapi,198,Kern,14414,9.87
1005,Temecula,1720,Riverside,100097,30.15
1006,Temple City,141,Los Angeles,35558,4.01
1007,Templeton,152,,0,0
1008,Terra Bella,46,,0,0
1009,The Sea Ranch,62,,0,0
1010,Thornton,1,,0,0
1011,Thousand Oaks,954,Ventura,126683,55.03
1012,Thousand Palms,1,,0,0
1013,Three Rivers,44,,0,0
1014,Tiburon,130,Marin,8962,4.43
1015,Tierrasanta,1,,0,0
1016,Tipton,24,,0,0
1017,Tollhouse,23,,0,0
1018,Tomales,2,,0,0
1019,Topanga,146,,0,0
1020,Torrance,450,Los Angeles,145538,20.48
1021,Trabuco Canyon,297,,0,0
1022,Trabuco Cyn,2,,0,0
1023,Tracy,517,San Joaquin,82922,22
1024,Tranquillity,4,,0,0
1025,Tres Pinos,8,,0,0
1026,Trinidad,16,Humboldt,367,0.48
1027,Trona,7,,0,0
1028,Tulare,571,Tulare,59278,20.93
1029,Tuolumne,19,,0,0
1030,Tupman,5,,0,0
1031,Tustin,331,Orange,75540,11.08
1032,Twain,2,,0,0
1033,Twain Harte,7,,0,0
1034,Twin Peaks,4,,0,0
1035,Ukiah,89,Mendocino,16075,4.67
1036,Union City,92,Alameda,69516,19.47
1037,Universal City,1,,0,0
1038,Upland,562,San Bernardino,73732,15.62
1039,Upper Lake,33,,0,0
1040,Vacaville,572,Solano,92428,28.37
1041,Valencia,624,,0,0
1042,Valinda,1,,0,0
1043,Vallecito,6,,0,0
1044,Vallejo,177,Solano,115942,30.67
1045,Valley Center,539,,0,0
1046,Valley Ford,2,,0,0
1047,Valley Springs,98,,0,0
1048,Valyermo,1,,0,0
1049,Venice,1,,0,0
1050,Ventura,430,Ventura,106433,21.65
1051,Vernalis,1,,0,0
1052,Victorville,616,San Bernardino,115903,73.18
1053,Villa Grande,1,,0,0
1054,Villa Park,181,Orange,5812,2.08
1055,Vina,4,,0,0
1056,Visalia,1374,Tulare,124442,36.25
1057,Vista,672,San Diego,93834,18.68
1058,Volcano,8,,0,0
1059,W Hollywood,2,,0,0
1060,Wallace,21,,0,0
1061,Walnut,378,Los Angeles,29172,8.99
1062,Walnut Creek,666,Contra Costa,64173,19.76
1063,Walnut Grove,9,,0,0
1064,Walnut Park,1,,0,0
1065,Warner Springs,19,,0,0
1066,Wasco,54,Kern,25545,9.43
1067,Watsonville,286,Santa Cruz,51199,6.69
1068,Waukena,2,,0,0
1069,Weimar,1,,0,0
1070,Weitchpec,2,,0,0
1071,Weldon,11,,0,0
1072,West Covina,373,Los Angeles,106098,16.04
1073,West Hills,13,,0,0
1074,West Hollywood,22,Los Angeles,34399,1.89
1075,West Point,11,,0,0
1076,West Sacramento,223,Yolo,48744,21.43
1077,Westlake Village,319,Los Angeles,8270,5.19
1078,Westlake Vlg,3,,0,0
1079,Westley,7,,0,0
1080,Westminster,277,Orange,89701,10.05
1081,Westport,2,,0,0
1082,Westwood,1,,0,0
1083,Wheatland,55,Yuba,3456,1.48
1084,White Water,12,,0,0
1085,Whitethorn,2,,0,0
1086,Whitmore,9,,0,0
1087,Whittier,529,Los Angeles,85331,14.65
1088,Wildomar,434,Riverside,32176,23.69
1089,Williams,31,Colusa,5123,5.44
1090,Willits,41,Mendocino,4888,2.8
1091,Willow Creek,4,,0,0
1092,Willows,91,Glenn,6166,2.85
1093,Winchester,428,,0,0
1094,Windsor,247,Sonoma,26801,7.27
1095,Winters,90,Yolo,6624,2.91
1096,Winton,53,,0,0
1097,Wofford Heights,19,,0,0
1098,Wofford Hts,1,,0,0
1099,Woodacre,12,,0,0
1100,Woodbridge,14,,0,0
1101,Woodcrest,1,,0,0
1102,Woodlake,71,Tulare,7279,2.25
1103,Woodland,360,Yolo,55468,15.3
1104,Woodland Hills,14,,0,0
1105,Woodside,155,San Mateo,5287,11.73
1106,Woodville,1,,0,0
1107,Woody,2,,0,0
1108,Wrightwood,19,,0,0
1109,Yankee Hill,1,,0,0
1110,Yermo,9,,0,0
1111,Yolo,4,,0,0
1112,Yorba Linda,881,Orange,64234,19.48
1113,Yorkville,3,,0,0
1114,Yosemite Lakes,4,,0,0
1115,Yosemite National Park,1,,0,0
1116,Yountville,18,Napa,2933,1.53
1117,Yuba City,363,Sutter,64925,14.58
1118,Yucaipa,739,San Bernardino,51367,27.89
1119,Yucca Valley,254,San Bernardino,20700,40.02
1120,Zamora,6,,0,0
