,City,SolarUnitCount,County,Pop_2010,Area_SqMi
166,Carlsbad,917,San Diego,105328,37.72
167,Carmel,41,,0,0
168,Carmel By The Sea,93,,0,0
169,Carmel Valley,108,,0,0
170,Carpinteria,77,Santa Barbara,13040,2.59
171,Carson,128,Los Angeles,91714,18.72
172,Caruthers,36,,0,0
173,Casmalia,1,,0,0
174,Caspar,5,,0,0
175,Cassel,1,,0,0
176,Castaic,525,,0,0
177,Castro Valley,322,,0,0
178,Castroville,90,,0,0
179,Cathedral City,724,Riverside,51200,21.5
180,Cathedral Cty,5,,0,0
181,Catheys Valley,18,,0,0
182,Cayucos,26,,0,0
183,Cazadero,11,,0,0
184,Cerritos,275,Los Angeles,49041,8.73
185,Chalfant Valley,1,,0,0
186,Chatsworth,41,,0,0
187,Cherry Valley,69,,0,0
188,Chico,908,Butte,86187,32.92
189,China Lake,3,,0,0
190,Chino,503,San Bernardino,77983,29.64
191,Chino Hills,613,San Bernardino,74799,44.68
192,Cholame,5,,0,0
193,Chowchilla,83,Madera,18720,7.66
194,Chualar,4,,0,0
195,Chula Vista,835,San Diego,243916,49.63
196,Citrus Heights,1,Sacramento,83301,14.23
197,City Industry,1,,0,0
198,City Of Industry,27,,0,0
199,Claremont,486,Los Angeles,34926,13.35
200,Clarksburg,10,,0,0
201,Clayton,163,Contra Costa,10897,3.84
202,Clearlake,40,Lake,15250,10.13
203,Clearlake Oaks,23,,0,0
204,Clements,27,,0,0
205,Cloverdale,108,Sonoma,8618,2.65
206,Clovis,1792,Fresno,95631,23.28
207,Coalinga,39,Fresno,13380,6.12
208,Coarsegold,133,,0,0
209,Cobb,5,,0,0
210,Cohasset,1,,0,0
211,Colfax,65,Placer,1963,1.41
212,College City,2,,0,0
213,Colma,7,San Mateo,1792,1.91
214,Coloma,2,,0,0
215,Colton,46,San Bernardino,52154,15.32
216,Columbia,13,,0,0
217,Colusa,44,Colusa,5971,1.83
218,Commerce,15,Los Angeles,12823,6.54
219,Compton,94,Los Angeles,96455,10.01
220,Concord,519,Contra Costa,122067,30.55
221,Cool,40,,0,0
222,Copperopolis,39,,0,0
223,Corcoran,41,Kings,24813,7.47
224,Corning,74,Tehama,7663,3.55
225,Corona,2315,Riverside,152374,38.83
226,Corona Del Mar,90,,0,0
227,Coronado,130,San Diego,24697,7.93
228,Corralitos,4,,0,0
229,Corte Madera,71,Marin,9253,3.16
230,Costa Mesa,393,Orange,109960,15.65
231,Cotati,63,Sonoma,7265,1.88
232,Coto De Caza,130,,0,0
233,Cottonwood,70,,0,0
234,Coulterville,7,,0,0
235,Covelo,8,,0,0
236,Covina,340,Los Angeles,47796,7.03
237,Cowan Heights,3,,0,0
238,Crescent Mills,2,,0,0
239,Cressey,2,,0,0
240,Crest,1,,0,0
241,Crestline,6,,0,0
242,Creston,26,,0,0
