,Location,Total_2007,MultiFamily(2)_2007,MultiFamily(3to4)_2007,MultiFamily(5)_2007,MultiFamily(all)_2007,SingleFamily_2007,Total_2008,MultiFamily(2)_2008,MultiFamily(3to4)_2008,MultiFamily(5)_2008,MultiFamily(all)_2008,SingleFamily_2008,Total_2009,MultiFamily(2)_2009,MultiFamily(3to4)_2009,MultiFamily(5)_2009,MultiFamily(all)_2009,SingleFamily_2009,Total_2010,MultiFamily(2)_2010,MultiFamily(3to4)_2010,MultiFamily(5)_2010,MultiFamily(all)_2010,SingleFamily_2010,Total_2011,MultiFamily(2)_2011,MultiFamily(3to4)_2011,MultiFamily(5)_2011,MultiFamily(all)_2011,SingleFamily_2011,Total_2012,MultiFamily(2)_2012,MultiFamily(3to4)_2012,MultiFamily(5)_2012,MultiFamily(all)_2012,SingleFamily_2012,Total_2013,MultiFamily(2)_2013,MultiFamily(3to4)_2013,MultiFamily(5)_2013,MultiFamily(all)_2013,SingleFamily_2013
55,Burlingame,12.0,0.0,3.0,0.0,3.0,9.0,21.0,0.0,0.0,9.0,9.0,12.0,11.0,0.0,0.0,0.0,0.0,11.0,61.0,0.0,0.0,45.0,45.0,16.0,19.0,0.0,0.0,0.0,0.0,19.0,17.0,0.0,3.0,0.0,3.0,14.0,47.0,0.0,0.0,36.0,36.0,11.0
56,Butte County Unincorporated Area,390.0,0.0,0.0,0.0,0.0,390.0,289.0,0.0,0.0,0.0,0.0,289.0,168.0,0.0,0.0,0.0,0.0,168.0,81.0,0.0,0.0,0.0,0.0,81.0,69.0,0.0,0.0,0.0,0.0,69.0,68.0,0.0,0.0,0.0,0.0,68.0,63.0,0.0,0.0,0.0,0.0,63.0
57,Calabasas,8.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,75.0,0.0,0.0,75.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,61.0,0.0,0.0,60.0,60.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
58,Calaveras County Unincorporated Area,261.0,2.0,3.0,10.0,15.0,246.0,124.0,0.0,0.0,0.0,0.0,124.0,56.0,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,0.0,44.0,27.0,0.0,0.0,0.0,0.0,27.0,28.0,0.0,0.0,0.0,0.0,28.0,39.0,0.0,0.0,0.0,0.0,39.0
59,Calexico,230.0,8.0,15.0,80.0,103.0,127.0,60.0,2.0,3.0,16.0,21.0,39.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,52.0,52.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,29.0,0.0,0.0,0.0,0.0,29.0
60,California City,374.0,70.0,63.0,0.0,133.0,241.0,42.0,6.0,13.0,0.0,19.0,23.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Calimesa,44.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,19.0,56.0,0.0,0.0,0.0,0.0,56.0
62,Calipatria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Calistoga,14.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
64,Camarillo,110.0,0.0,8.0,94.0,102.0,8.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,206.0,0.0,0.0,202.0,202.0,4.0
65,Campbell,35.0,2.0,0.0,0.0,2.0,33.0,16.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,8.0,48.0,0.0,19.0,5.0,24.0,24.0,40.0,0.0,3.0,0.0,3.0,37.0,128.0,0.0,0.0,101.0,101.0,27.0
66,Canyon Lake,19.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
67,Capitola,72.0,0.0,0.0,55.0,55.0,17.0,39.0,0.0,0.0,26.0,26.0,13.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,7.0
68,Carlsbad,350.0,24.0,37.0,47.0,108.0,242.0,240.0,8.0,4.0,78.0,90.0,150.0,174.0,14.0,6.0,0.0,20.0,154.0,378.0,2.0,0.0,0.0,2.0,376.0,317.0,0.0,0.0,50.0,50.0,267.0,404.0,2.0,0.0,24.0,26.0,378.0,207.0,0.0,4.0,15.0,19.0,188.0
69,Carmel-by-the-sea,12.0,0.0,4.0,0.0,4.0,8.0,8.0,2.0,4.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,11.0
70,Carpinteria,6.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,9.0,0.0,9.0,8.0,91.0,2.0,0.0,33.0,35.0,56.0,4.0,0.0,0.0,0.0,0.0,4.0
71,Carson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,40.0,40.0,4.0
72,Cathedral City,50.0,6.0,4.0,0.0,10.0,40.0,10.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,64.0,0.0,0.0,60.0,60.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,9.0,12.0,2.0,0.0,0.0,2.0,10.0
73,Ceres,147.0,22.0,6.0,0.0,28.0,119.0,47.0,0.0,0.0,0.0,0.0,47.0,10.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0
74,Cerritos,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Chico,368.0,0.0,31.0,76.0,107.0,261.0,227.0,4.0,29.0,25.0,58.0,169.0,181.0,2.0,4.0,48.0,54.0,127.0,422.0,0.0,58.0,297.0,355.0,67.0,126.0,0.0,0.0,38.0,38.0,88.0,184.0,0.0,3.0,55.0,58.0,126.0,390.0,16.0,19.0,128.0,163.0,227.0
76,Chino,410.0,0.0,10.0,5.0,15.0,395.0,238.0,2.0,35.0,0.0,37.0,201.0,71.0,2.0,0.0,0.0,2.0,69.0,20.0,0.0,0.0,12.0,12.0,8.0,185.0,0.0,27.0,10.0,37.0,148.0,349.0,4.0,48.0,32.0,84.0,265.0,987.0,66.0,87.0,570.0,723.0,264.0
77,Chino Hills,26.0,0.0,0.0,0.0,0.0,26.0,44.0,0.0,0.0,0.0,0.0,44.0,25.0,0.0,0.0,0.0,0.0,25.0,36.0,0.0,0.0,0.0,0.0,36.0,24.0,0.0,0.0,0.0,0.0,24.0,22.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,6.0
78,Chowchilla,58.0,0.0,0.0,0.0,0.0,58.0,11.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,4.0,76.0,0.0,0.0,72.0,72.0,4.0,93.0,0.0,0.0,60.0,60.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
79,Chula Vista,576.0,12.0,36.0,216.0,264.0,312.0,334.0,2.0,20.0,201.0,223.0,111.0,266.0,6.0,16.0,38.0,60.0,206.0,518.0,8.0,24.0,119.0,151.0,367.0,723.0,2.0,55.0,238.0,295.0,428.0,794.0,24.0,214.0,97.0,335.0,459.0,632.0,2.0,181.0,135.0,318.0,314.0
80,Citrus Heights,46.0,4.0,0.0,0.0,4.0,42.0,20.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,0.0,16.0,19.0,2.0,0.0,0.0,2.0,17.0,18.0,2.0,0.0,0.0,2.0,16.0,17.0,0.0,0.0,0.0,0.0,17.0,21.0,0.0,0.0,0.0,0.0,21.0
81,Claremont,273.0,0.0,0.0,230.0,230.0,43.0,5.0,0.0,0.0,0.0,0.0,5.0,39.0,0.0,0.0,33.0,33.0,6.0,78.0,0.0,0.0,75.0,75.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,24.0
82,Clearlake,171.0,2.0,0.0,54.0,56.0,115.0,25.0,0.0,0.0,0.0,0.0,25.0,14.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
83,Cloverdale,6.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Clovis,721.0,0.0,81.0,70.0,151.0,570.0,409.0,0.0,0.0,16.0,16.0,393.0,571.0,0.0,0.0,0.0,0.0,571.0,387.0,0.0,0.0,0.0,0.0,387.0,320.0,0.0,0.0,0.0,0.0,320.0,367.0,0.0,0.0,0.0,0.0,367.0,834.0,0.0,0.0,6.0,6.0,828.0
85,Coachella,196.0,0.0,0.0,0.0,0.0,196.0,154.0,0.0,0.0,0.0,0.0,154.0,97.0,0.0,0.0,0.0,0.0,97.0,124.0,0.0,0.0,0.0,0.0,124.0,87.0,0.0,0.0,0.0,0.0,87.0,22.0,0.0,0.0,0.0,0.0,22.0,163.0,0.0,0.0,56.0,56.0,107.0
86,Coalinga,72.0,0.0,0.0,0.0,0.0,72.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0
87,Colfax,1.0,0.0,0.0,0.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,55.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
88,Colma Town,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Colton,43.0,0.0,0.0,0.0,0.0,43.0,17.0,0.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,15.0,19.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,144.0,0.0,0.0,120.0,120.0,24.0
90,Colusa,80.0,0.0,0.0,80.0,80.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Colusa County Unincorporated Area,19.0,0.0,0.0,0.0,0.0,19.0,12.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,38.0
92,Commerce,21.0,0.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Compton,32.0,2.0,6.0,0.0,8.0,24.0,158.0,4.0,10.0,0.0,14.0,144.0,39.0,0.0,0.0,0.0,0.0,39.0,34.0,0.0,0.0,0.0,0.0,34.0,25.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0
94,Concord,101.0,0.0,0.0,0.0,0.0,101.0,57.0,0.0,3.0,0.0,3.0,54.0,69.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,20.0
95,Contra Costa County Unincorporated Area,1403.0,0.0,18.0,75.0,93.0,1310.0,1069.0,0.0,24.0,584.0,608.0,461.0,429.0,0.0,31.0,24.0,55.0,374.0,847.0,2.0,48.0,491.0,541.0,306.0,211.0,4.0,0.0,0.0,4.0,207.0,842.0,0.0,0.0,461.0,461.0,381.0,602.0,0.0,12.0,162.0,174.0,428.0
96,Corcoran,35.0,0.0,0.0,0.0,0.0,35.0,29.0,0.0,0.0,0.0,0.0,29.0,43.0,0.0,0.0,0.0,0.0,43.0,46.0,0.0,0.0,0.0,0.0,46.0,38.0,0.0,0.0,0.0,0.0,38.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Corning,31.0,8.0,0.0,0.0,8.0,23.0,79.0,6.0,0.0,48.0,54.0,25.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
98,Corona,116.0,2.0,8.0,30.0,40.0,76.0,257.0,10.0,31.0,209.0,250.0,7.0,91.0,2.0,20.0,36.0,58.0,33.0,69.0,0.0,32.0,6.0,38.0,31.0,463.0,0.0,4.0,404.0,408.0,55.0,79.0,0.0,0.0,34.0,34.0,45.0,265.0,0.0,0.0,237.0,237.0,28.0
99,Coronado,61.0,0.0,4.0,0.0,4.0,57.0,42.0,0.0,0.0,0.0,0.0,42.0,29.0,0.0,0.0,0.0,0.0,29.0,25.0,0.0,0.0,0.0,0.0,25.0,26.0,0.0,3.0,0.0,3.0,23.0,27.0,0.0,0.0,0.0,0.0,27.0,43.0,0.0,0.0,0.0,0.0,43.0
100,Corte Madera Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,180.0,0.0,0.0,180.0,180.0,0.0
101,Costa Mesa,590.0,0.0,0.0,552.0,552.0,38.0,39.0,0.0,0.0,25.0,25.0,14.0,10.0,0.0,0.0,0.0,0.0,10.0,9.0,4.0,0.0,0.0,4.0,5.0,31.0,10.0,0.0,0.0,10.0,21.0,36.0,0.0,0.0,0.0,0.0,36.0,197.0,0.0,0.0,113.0,113.0,84.0
102,Cotati,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
103,Covina,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,30.0,32.0,0.0,5.0,0.0,4.0,0.0,4.0,1.0,56.0,4.0,0.0,0.0,4.0,52.0
104,Crescent City,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Cudahy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Culver City,5.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,4.0,0.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,28.0,28.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0
107,Cupertino,83.0,0.0,0.0,0.0,0.0,83.0,107.0,42.0,0.0,0.0,42.0,65.0,21.0,0.0,0.0,0.0,0.0,21.0,24.0,0.0,0.0,0.0,0.0,24.0,51.0,0.0,0.0,0.0,0.0,51.0,43.0,0.0,0.0,0.0,0.0,43.0,135.0,0.0,0.0,80.0,80.0,55.0
108,Cypress,26.0,4.0,0.0,0.0,4.0,22.0,11.0,4.0,0.0,5.0,9.0,2.0,45.0,0.0,0.0,0.0,0.0,45.0,13.0,0.0,8.0,5.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,43.0,0.0,0.0,0.0,0.0,43.0,22.0,6.0,0.0,0.0,6.0,16.0
109,Daly City,36.0,14.0,0.0,0.0,14.0,22.0,12.0,2.0,0.0,0.0,2.0,10.0,10.0,4.0,0.0,0.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,5.0,48.0,4.0,0.0,36.0,40.0,8.0,11.0,2.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Dana Point,37.0,0.0,0.0,0.0,0.0,37.0,27.0,0.0,0.0,0.0,0.0,27.0,12.0,0.0,0.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,15.0
111,Danville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Danville Town,75.0,0.0,0.0,55.0,55.0,20.0,35.0,0.0,0.0,0.0,0.0,35.0,40.0,0.0,0.0,34.0,34.0,6.0,24.0,4.0,0.0,0.0,4.0,20.0,17.0,4.0,0.0,0.0,4.0,13.0,28.0,0.0,0.0,0.0,0.0,28.0,63.0,0.0,0.0,0.0,0.0,63.0
113,Davis,44.0,8.0,0.0,8.0,16.0,28.0,14.0,0.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,11.0,27.0,0.0,0.0,0.0,0.0,27.0,123.0,0.0,0.0,69.0,69.0,54.0,76.0,2.0,0.0,5.0,7.0,69.0,53.0,2.0,0.0,0.0,2.0,51.0
114,Del Mar,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0
115,Del Norte County Unincorporated Area,75.0,0.0,0.0,0.0,0.0,75.0,112.0,0.0,0.0,80.0,80.0,32.0,28.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,28.0,89.0,0.0,0.0,64.0,64.0,25.0,32.0,0.0,0.0,0.0,0.0,32.0,18.0,0.0,0.0,0.0,0.0,18.0
116,Del Rey Oaks,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Delano,153.0,0.0,23.0,0.0,23.0,130.0,50.0,0.0,4.0,0.0,4.0,46.0,11.0,0.0,0.0,0.0,0.0,11.0,87.0,0.0,0.0,70.0,70.0,17.0,30.0,0.0,0.0,0.0,0.0,30.0,22.0,0.0,0.0,0.0,0.0,22.0,44.0,0.0,0.0,0.0,0.0,44.0
118,Desert Hot Springs,148.0,32.0,3.0,0.0,35.0,113.0,27.0,4.0,0.0,0.0,4.0,23.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
119,Diamond Bar,70.0,0.0,0.0,0.0,0.0,70.0,34.0,0.0,0.0,0.0,0.0,34.0,26.0,0.0,0.0,0.0,0.0,26.0,21.0,0.0,0.0,0.0,0.0,21.0,20.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0
120,Dinuba,129.0,0.0,4.0,0.0,4.0,125.0,44.0,0.0,0.0,0.0,0.0,44.0,123.0,0.0,0.0,56.0,56.0,67.0,302.0,0.0,0.0,57.0,57.0,245.0,64.0,0.0,0.0,0.0,0.0,64.0,116.0,0.0,0.0,66.0,66.0,50.0,84.0,0.0,0.0,0.0,0.0,84.0
121,Dixon,13.0,4.0,0.0,7.0,11.0,2.0,9.0,0.0,0.0,7.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,59.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Dorris,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Dos Palos,22.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Downey,79.0,0.0,0.0,0.0,0.0,79.0,16.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,56.0
125,Duarte,21.0,20.0,0.0,0.0,20.0,1.0,14.0,14.0,0.0,0.0,14.0,0.0,32.0,8.0,0.0,0.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,0.0,0.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,43.0,43.0,9.0
126,Dublin,118.0,0.0,13.0,67.0,80.0,38.0,141.0,2.0,0.0,0.0,2.0,139.0,141.0,8.0,0.0,11.0,19.0,122.0,344.0,34.0,6.0,76.0,116.0,228.0,819.0,26.0,12.0,505.0,543.0,276.0,1084.0,16.0,8.0,304.0,328.0,756.0,681.0,0.0,3.0,13.0,16.0,665.0
127,Dunsmuir,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,East Palo Alto,79.0,0.0,3.0,6.0,9.0,70.0,46.0,0.0,0.0,15.0,15.0,31.0,33.0,0.0,0.0,10.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
129,Eastvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,222.0
130,El Cajon,31.0,0.0,0.0,0.0,0.0,31.0,32.0,0.0,0.0,0.0,0.0,32.0,7.0,0.0,0.0,0.0,0.0,7.0,42.0,0.0,0.0,0.0,0.0,42.0,11.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0
