,Location,Total_2007,MultiFamily(2)_2007,MultiFamily(3to4)_2007,MultiFamily(5)_2007,MultiFamily(all)_2007,SingleFamily_2007,Total_2008,MultiFamily(2)_2008,MultiFamily(3to4)_2008,MultiFamily(5)_2008,MultiFamily(all)_2008,SingleFamily_2008,Total_2009,MultiFamily(2)_2009,MultiFamily(3to4)_2009,MultiFamily(5)_2009,MultiFamily(all)_2009,SingleFamily_2009,Total_2010,MultiFamily(2)_2010,MultiFamily(3to4)_2010,MultiFamily(5)_2010,MultiFamily(all)_2010,SingleFamily_2010,Total_2011,MultiFamily(2)_2011,MultiFamily(3to4)_2011,MultiFamily(5)_2011,MultiFamily(all)_2011,SingleFamily_2011,Total_2012,MultiFamily(2)_2012,MultiFamily(3to4)_2012,MultiFamily(5)_2012,MultiFamily(all)_2012,SingleFamily_2012,Total_2013,MultiFamily(2)_2013,MultiFamily(3to4)_2013,MultiFamily(5)_2013,MultiFamily(all)_2013,SingleFamily_2013
15,Antioch,158.0,0.0,0.0,0.0,0.0,158.0,122.0,0.0,0.0,0.0,0.0,122.0,127.0,0.0,0.0,8.0,8.0,119.0,108.0,0.0,0.0,0.0,0.0,108.0,149.0,0.0,0.0,0.0,0.0,149.0,263.0,0.0,0.0,0.0,0.0,263.0,240.0,0.0,0.0,0.0,0.0,240.0
16,Apple Valley Town,165.0,0.0,8.0,8.0,16.0,149.0,74.0,0.0,0.0,18.0,18.0,56.0,40.0,0.0,0.0,0.0,0.0,40.0,79.0,8.0,4.0,0.0,12.0,67.0,22.0,0.0,0.0,0.0,0.0,22.0,62.0,0.0,0.0,0.0,0.0,62.0,97.0,0.0,0.0,0.0,0.0,97.0
17,Arcadia,163.0,0.0,0.0,70.0,70.0,93.0,110.0,0.0,0.0,63.0,63.0,47.0,74.0,0.0,0.0,40.0,40.0,34.0,93.0,0.0,0.0,60.0,60.0,33.0,110.0,0.0,0.0,81.0,81.0,29.0,164.0,0.0,0.0,122.0,122.0,42.0,200.0,0.0,0.0,140.0,140.0,60.0
18,Arcata,52.0,0.0,0.0,15.0,15.0,37.0,27.0,2.0,0.0,0.0,2.0,25.0,9.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,14.0,54.0,0.0,8.0,44.0,52.0,2.0,34.0,0.0,3.0,28.0,31.0,3.0,24.0,0.0,4.0,14.0,18.0,6.0
19,Arroyo Grande,123.0,0.0,3.0,76.0,79.0,44.0,8.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,5.0,5.0,11.0,20.0,0.0,0.0,5.0,5.0,15.0,27.0,0.0,0.0,7.0,7.0,20.0,57.0,4.0,0.0,36.0,40.0,17.0
20,Artesia,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,5.0,0.0,19.0,4.0,8.0,0.0,12.0,7.0
21,Arvin,38.0,0.0,0.0,0.0,0.0,38.0,27.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,27.0,65.0,0.0,0.0,0.0,0.0,65.0,55.0,0.0,0.0,49.0,49.0,6.0,28.0,0.0,0.0,23.0,23.0,5.0,56.0,0.0,0.0,48.0,48.0,8.0
22,Atascadero,154.0,0.0,0.0,0.0,0.0,154.0,21.0,0.0,0.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0,12.0,27.0,0.0,3.0,0.0,3.0,24.0,35.0,0.0,3.0,0.0,3.0,32.0,42.0,0.0,3.0,0.0,3.0,39.0
23,Atherton Town,14.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,0.0,0.0,0.0,24.0,10.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,14.0,27.0,0.0,0.0,0.0,0.0,27.0,31.0,0.0,0.0,0.0,0.0,31.0,28.0,0.0,0.0,0.0,0.0,28.0
24,Atwater,52.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0
