,City,County,Pop_2010,Area_SqMi
153,Woodland,Yolo,55468,15.3
154,Fountain Valley,Orange,55313,9.02
155,Porterville,Tulare,54165,17.61
156,Paramount,Los Angeles,54098,4.73
157,Hanford,Kings,53967,16.59
158,Rosemead,Los Angeles,53764,5.16
159,Santee,San Diego,53413,16.24
160,Highland,San Bernardino,53104,18.76
161,Delano,Kern,53041,14.3
162,Colton,San Bernardino,52154,15.32
163,Novato,Marin,51904,27.44
164,Lake Elsinore,Riverside,51821,36.21
165,Brentwood,Contra Costa,51481,14.79
166,Yucaipa,San Bernardino,51367,27.89
167,Cathedral City,Riverside,51200,21.5
168,Watsonville,Santa Cruz,51199,6.69
169,Placentia,Orange,50533,6.57
170,Glendora,Los Angeles,50073,19.39
171,Cerritos,Los Angeles,49041,8.73
172,Gilroy,Santa Clara,48821,16.15
173,West Sacramento,Yolo,48744,21.43
174,La Mirada,Los Angeles,48527,7.84
175,Palm Desert,Riverside,48445,26.81
176,Rancho Santa Margarita,Orange,47853,12.96
177,Aliso Viejo,Orange,47823,7.47
178,Poway,San Diego,47811,39.08
179,Cypress,Orange,47802,6.58
180,Covina,Los Angeles,47796,7.03
181,Azusa,Los Angeles,46361,9.66
182,Dublin,Alameda,46036,14.91
183,Ceres,Stanislaus,45417,8.01
184,San Luis Obispo,San Luis Obispo,45119,12.78
185,Palm Springs,Riverside,44552,94.12
186,San Jacinto,Riverside,44199,25.72
187,Lincoln,Placer,42819,20.11
188,El Centro,Imperial,42598,11.08
189,Newark,Alameda,42573,13.87
190,Lompoc,Santa Barbara,42434,11.6
191,Bell Gardens,Los Angeles,42072,2.46
192,Danville,Contra Costa,42039,18.03
193,Rancho Palos Verdes,Los Angeles,41643,13.46
194,San Bruno,San Mateo,41114,5.48
195,Rohnert Park,Sonoma,40971,7.0
196,Coachella,Riverside,40704,28.95
197,La Puente,Los Angeles,39816,3.48
198,San Gabriel,Los Angeles,39718,4.14
199,Campbell,Santa Clara,39349,5.8
200,Brea,Orange,39282,12.08
201,Culver City,Los Angeles,38883,5.11
202,Calexico,Imperial,38572,8.39
203,Stanton,Orange,38186,3.15
204,Morgan Hill,Santa Clara,37882,12.88
205,La Quinta,Riverside,37467,35.12
206,Pacifica,San Mateo,37234,12.66
207,Beaumont,Riverside,36877,30.91
208,Montclair,San Bernardino,36664,5.52
