Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Nonfamily households - Mean nonfamily income (dollars),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Total; Estimate; Population 25 to 34 years - High school graduate or higher,"Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median earnings for male full-time, year-round workers (dollars)",MedianAgeYears,Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families - Mean family income (dollars),County,Total; Estimate; Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; Bachelor's degree or higher,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van",Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income - Mean Supplemental Security Income (dollars),Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Total; Estimate; High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,"Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median earnings for female full-time, year-round workers (dollars)",Total; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Nonfamily households - Median nonfamily income (dollars),Total; Estimate; Population 45 to 64 years - High school graduate or higher,Jurisdiction,Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - With retirement income - Mean retirement income (dollars),Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars),Total; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Total; Estimate; Less than high school graduate
77764.0,16.0,26425.0,42647.0,23.8,98940.0,95.3,71815.0,38.3,124115.0,Santa Clara,38.6,78114.0,29.4,1.05,8932.0,23.8,20.8,96446.0,60187.0,42.3,28690.0,64982.0,94.9,Campbell,33843.0,4505.0,48.6,11.2
56934.0,24.1,50500.0,53583.0,43.4,82782.0,95.5,66607.0,44.0,101135.0,Riverside,53.9,60714.0,0.0,1.09,11775.0,43.4,37.5,68523.0,46483.0,25.1,34306.0,44741.0,97.7,Canyon Lake,36104.0,14506.0,27.3,8.6
49287.0,6.0,31500.0,43287.0,26.6,78825.0,99.6,63719.0,41.9,109120.0,Santa Cruz,52.7,68750.0,2.1,1.05,8011.0,26.6,43.3,52642.0,54394.0,35.9,27500.0,42149.0,89.8,Capitola,22035.0,4111.0,54.7,1.9
72748.0,19.0,22893.0,38154.0,28.3,103459.0,97.5,83120.0,40.4,124544.0,San Diego,53.8,65425.0,12.6,1.05,10178.0,28.3,22.5,85776.0,56758.0,53.1,30806.0,53455.0,96.4,Carlsbad,33611.0,6856.0,50.0,11.1
44331.0,1.0,21842.0,28750.0,21.7,107281.0,100.0,73229.0,59.2,129254.0,Monterey,70.6,33281.0,23.3,1.1,17437.0,21.7,0.0,75167.0,58719.0,53.2,14706.0,34766.0,91.2,Carmel-by-the-Sea,37976.0,,69.0,6.1
54857.0,8.0,20954.0,43330.0,22.2,78468.0,80.0,45760.0,39.5,98299.0,Santa Barbara,35.0,50247.0,6.3,1.07,9661.0,22.2,28.5,75729.0,49358.0,31.0,27679.0,41713.0,84.3,Carpinteria,25224.0,7524.0,42.4,30.3
51114.0,16.5,21767.0,36623.0,26.4,77802.0,89.0,43441.0,37.6,86519.0,Los Angeles,51.4,44596.0,6.1,1.08,9792.0,26.4,26.5,61231.0,42274.0,25.6,31535.0,40459.0,79.7,Carson,25716.0,4757.0,23.9,16.0
48175.0,25.9,17973.0,30790.0,20.4,47677.0,73.8,33674.0,36.0,62717.0,Riverside,37.7,41952.0,2.3,1.11,8155.0,20.4,34.6,66250.0,29359.0,17.0,25085.0,32707.0,71.6,Cathedral City,24876.0,3585.0,7.2,25.4
61274.0,8.7,27324.0,42741.0,30.8,98289.0,98.4,65474.0,44.0,114487.0,Los Angeles,52.3,55000.0,15.8,1.07,8702.0,30.8,24.0,76384.0,52475.0,53.1,30141.0,46672.0,96.2,Cerritos,36540.0,10144.0,52.9,7.9
42136.0,26.9,18293.0,30266.0,17.3,59028.0,92.6,47262.0,28.6,72125.0,Butte,66.6,42263.0,10.0,1.09,9754.0,17.3,17.6,51834.0,37810.0,37.9,23044.0,30525.0,92.3,Chico,27101.0,4370.0,30.1,5.8
54801.0,16.6,25441.0,39947.0,33.7,78961.0,81.4,53717.0,33.2,91778.0,San Bernardino,43.6,60074.0,7.9,1.07,8303.0,33.7,30.1,66404.0,41332.0,19.8,30764.0,47538.0,79.7,Chino,25525.0,4700.0,25.7,18.4
70786.0,9.8,23698.0,47151.0,37.1,105413.0,93.8,73173.0,36.6,120577.0,San Bernardino,54.8,64729.0,12.7,1.09,8832.0,37.1,21.9,82035.0,57914.0,42.4,38283.0,53715.0,92.2,Chino Hills,27634.0,7161.0,50.8,10.5
50892.0,29.4,12311.0,25128.0,23.3,40053.0,64.7,42889.0,34.7,53866.0,Madera,34.6,53077.0,1.2,1.05,8438.0,23.3,38.2,65156.0,33004.0,11.0,24201.0,32595.0,71.0,Chowchilla,17696.0,6064.0,7.4,26.0
48112.0,21.6,22082.0,37945.0,26.8,72969.0,90.3,52512.0,33.7,85562.0,San Diego,50.8,52908.0,5.5,1.07,8579.0,26.8,30.6,66345.0,42175.0,26.1,31372.0,33099.0,80.8,Chula Vista,28394.0,5922.0,27.5,13.0
63505.0,19.8,21563.0,34191.0,27.4,106590.0,96.8,84491.0,38.6,129273.0,Los Angeles,72.1,54480.0,6.9,1.07,8853.0,27.4,17.0,78951.0,58400.0,58.3,26533.0,46116.0,93.1,Claremont,38967.0,7576.0,55.0,4.0
75784.0,30.9,31696.0,56912.0,34.9,139725.0,100.0,102183.0,45.0,161571.0,Contra Costa,38.3,81446.0,6.2,1.04,14805.0,34.9,46.7,107361.0,80000.0,54.3,57885.0,59028.0,98.4,Clayton,37623.0,25178.0,45.6,8.9
27855.0,35.8,18160.0,22564.0,21.1,30654.0,75.1,37150.0,39.9,40708.0,Lake,37.4,16953.0,2.4,1.05,8980.0,21.1,30.6,43239.0,26779.0,8.2,16110.0,17065.0,84.2,Clearlake,14756.0,4320.0,5.4,29.6
46899.0,22.3,22336.0,37168.0,20.5,74688.0,90.9,57331.0,34.1,90351.0,Fresno,52.7,59827.0,6.3,1.06,10037.0,20.5,29.6,73504.0,46834.0,30.4,33311.0,33273.0,88.9,Clovis,28134.0,5340.0,30.2,11.3
42171.0,29.0,17157.0,29769.0,21.5,39755.0,63.4,30202.0,24.5,47794.0,Riverside,29.3,43266.0,2.4,1.09,9748.0,21.5,41.0,48750.0,23739.0,2.1,22037.0,19811.0,37.9,Coachella,13164.0,4400.0,7.7,27.3
54773.0,22.6,23438.0,37349.0,19.1,53924.0,75.6,52155.0,31.9,65268.0,Fresno,55.8,52574.0,2.6,1.08,10987.0,19.1,23.5,67500.0,34565.0,14.7,26625.0,31675.0,77.1,Coalinga,12824.0,6562.0,12.1,18.0
44501.0,21.5,,41705.0,26.0,52632.0,87.0,53558.0,37.9,71690.0,Placer,31.3,46250.0,6.5,1.09,8716.0,26.0,50.6,104792.0,42552.0,15.0,30742.0,34688.0,95.3,Colfax,20012.0,1852.0,10.9,11.6
102219.0,5.8,25000.0,37313.0,26.1,86875.0,93.3,47188.0,36.4,107057.0,San Mateo,53.4,48352.0,8.0,1.16,9600.0,26.1,12.6,64792.0,45650.0,29.8,30938.0,81250.0,81.4,Colma,9912.0,10213.0,48.6,26.0
36848.0,22.6,19705.0,30608.0,27.3,43517.0,79.6,35935.0,28.4,54501.0,San Bernardino,40.6,39643.0,3.9,1.1,9672.0,27.3,32.7,57970.0,31376.0,9.3,21755.0,26507.0,64.7,Colton,25578.0,4576.0,12.6,22.8
53880.0,15.7,18958.0,36786.0,19.1,53125.0,69.2,39234.0,33.5,64627.0,Colusa,17.5,43958.0,4.9,1.14,5934.0,19.1,36.9,92250.0,31193.0,11.8,30299.0,40455.0,77.0,Colusa,24324.0,2135.0,11.2,40.7
37841.0,18.7,22577.0,33159.0,26.5,52231.0,68.4,34605.0,31.2,59111.0,Los Angeles,41.8,48000.0,4.1,1.12,7576.0,26.5,33.1,35625.0,30442.0,4.2,29882.0,18883.0,44.4,Commerce,17102.0,4469.0,11.8,21.0
31317.0,28.9,18732.0,32165.0,27.6,46158.0,65.3,30071.0,28.0,54306.0,Los Angeles,35.1,40306.0,3.1,1.13,11098.0,27.6,33.2,57222.0,29280.0,8.5,25448.0,20951.0,57.1,Compton,17346.0,4757.0,6.2,28.6
56771.0,22.9,20002.0,42329.0,30.0,76181.0,86.6,56039.0,37.0,93962.0,Contra Costa,44.3,59613.0,7.9,1.08,9768.0,30.0,28.9,75292.0,49442.0,30.4,30908.0,45411.0,90.0,Concord,27147.0,5392.0,30.6,18.8
55255.0,13.9,26187.0,48614.0,40.2,82328.0,88.4,60752.0,32.0,97336.0,Contra Costa,42.4,67465.0,1.6,1.09,9366.0,40.2,37.6,68438.0,47933.0,15.5,36321.0,43973.0,86.0,Oakley,22200.0,5495.0,12.2,18.4
59424.0,19.7,22564.0,44526.0,35.2,82329.0,84.8,57597.0,32.5,95475.0,Riverside,42.7,56924.0,6.5,1.09,9844.0,35.2,37.8,82581.0,44877.0,24.6,33359.0,48942.0,84.7,Corona,29433.0,7341.0,27.8,13.1
82983.0,28.6,40000.0,38333.0,19.8,111404.0,98.3,51521.0,40.7,142085.0,San Diego,37.0,55000.0,8.5,1.04,14438.0,19.8,50.6,90124.0,52691.0,67.1,29048.0,59847.0,98.3,Coronado,43374.0,4170.0,38.3,3.9
74202.0,33.2,17107.0,41071.0,21.9,75810.0,85.5,50539.0,33.6,96558.0,Orange,49.1,53543.0,12.1,1.06,10043.0,21.9,23.5,71530.0,48258.0,32.0,30718.0,52076.0,88.2,Costa Mesa,28402.0,7555.0,40.0,15.3
55896.0,17.0,22237.0,40208.0,31.4,71904.0,92.6,54916.0,35.7,84850.0,Los Angeles,55.9,51112.0,7.3,1.08,10648.0,31.4,26.6,76362.0,42472.0,22.8,30656.0,45975.0,85.9,Covina,27504.0,5688.0,29.0,10.3
29483.0,31.4,19484.0,23420.0,32.4,36020.0,59.1,26458.0,27.0,43046.0,Los Angeles,35.8,35655.0,1.4,1.14,7924.0,32.4,32.8,36289.0,22743.0,1.9,22774.0,19833.0,31.7,Cudahy,8330.0,5214.0,5.9,30.0
72171.0,20.1,27727.0,41617.0,24.8,99750.0,95.3,69457.0,40.5,124422.0,Los Angeles,50.2,60811.0,15.4,1.05,9851.0,24.8,24.4,80548.0,62670.0,49.4,36116.0,54231.0,93.9,Culver City,36101.0,5996.0,58.5,10.0
79657.0,17.3,23832.0,46033.0,25.4,152020.0,97.9,131315.0,39.9,173593.0,Santa Clara,46.6,95405.0,24.8,1.06,9695.0,25.4,20.3,121114.0,90641.0,77.0,31729.0,60230.0,97.3,Cupertino,27643.0,9685.0,74.1,8.4
60106.0,18.5,21851.0,44841.0,28.9,87393.0,93.7,65197.0,39.9,103054.0,Orange,59.6,60836.0,10.6,1.06,10518.0,28.9,18.3,75216.0,53022.0,40.7,31963.0,52919.0,93.4,Cypress,28565.0,5014.0,46.5,11.6
59268.0,9.8,25212.0,39870.0,28.6,82923.0,92.1,47449.0,38.3,97647.0,San Mateo,56.8,50225.0,13.0,1.11,9038.0,28.6,22.0,70136.0,45678.0,32.5,31103.0,46165.0,86.6,Daly City,22935.0,7043.0,38.0,8.3
77553.0,30.0,15909.0,41575.0,28.2,99677.0,96.1,72290.0,44.8,132756.0,Orange,42.4,60919.0,19.9,1.06,14007.0,28.2,23.8,85783.0,52305.0,49.2,28010.0,59103.0,96.7,Dana Point,35211.0,7301.0,40.8,14.0
89041.0,40.8,23194.0,53685.0,30.3,153019.0,99.3,128765.0,44.5,192642.0,Contra Costa,33.5,91901.0,13.8,1.05,13634.0,30.3,37.4,113430.0,87008.0,66.7,45208.0,62885.0,98.4,Danville,38802.0,13844.0,69.6,15.2
44239.0,38.9,16798.0,27312.0,20.4,108944.0,98.4,68598.0,25.2,128775.0,Yolo,67.3,45442.0,16.9,1.07,8303.0,20.4,12.6,74124.0,57214.0,72.3,27208.0,30141.0,96.5,Davis,41564.0,4259.0,68.7,3.3
93357.0,0.0,,54500.0,20.0,143694.0,100.0,85505.0,48.6,266324.0,San Diego,0.0,70406.0,31.8,1.04,5907.0,20.0,34.1,80543.0,80968.0,74.1,43100.0,65385.0,98.9,Del Mar,51696.0,,86.0,34.1
58968.0,20.3,31406.0,38523.0,16.6,107500.0,91.0,66513.0,46.2,114387.0,Monterey,27.1,66094.0,15.3,1.06,8303.0,16.6,29.9,76705.0,42000.0,33.0,31500.0,39375.0,95.5,Del Rey Oaks,27744.0,7867.0,39.3,27.8
28128.0,32.5,12492.0,24335.0,21.4,35643.0,62.4,28621.0,28.5,46768.0,Kern,36.2,36607.0,2.1,1.18,8828.0,21.4,26.7,35577.0,25369.0,9.7,21053.0,17963.0,50.1,Delano,19708.0,3614.0,5.2,34.9
35981.0,33.6,20596.0,29169.0,32.9,33990.0,69.1,33784.0,31.0,44750.0,Riverside,26.5,32882.0,2.9,1.11,9641.0,32.9,45.1,46705.0,27573.0,14.5,27866.0,25527.0,66.9,Desert Hot Springs,15614.0,5217.0,12.7,25.6
63035.0,12.6,16940.0,40618.0,33.9,94617.0,97.0,63829.0,41.0,112732.0,Los Angeles,52.3,51688.0,16.9,1.07,8994.0,33.9,22.5,74576.0,50287.0,50.1,28580.0,59803.0,94.3,Diamond Bar,32257.0,3641.0,54.8,8.3
58545.0,16.9,21735.0,48778.0,22.1,76150.0,80.1,54381.0,33.3,87055.0,Solano,36.4,63606.0,4.1,1.09,9818.0,22.1,37.8,62946.0,44934.0,26.1,38686.0,41052.0,81.1,Dixon,25754.0,6089.0,22.2,21.7
50207.0,17.5,24059.0,37921.0,27.7,64574.0,86.1,42778.0,33.3,79231.0,Los Angeles,48.1,48461.0,5.6,1.07,8983.0,27.7,33.6,75326.0,38885.0,20.3,30874.0,38653.0,74.6,Downey,20978.0,4131.0,25.8,12.8
81040.0,13.7,19940.0,50802.0,31.3,128787.0,92.6,95620.0,35.3,143491.0,Alameda,47.9,77480.0,8.3,1.06,9078.0,31.3,26.9,106229.0,67064.0,46.1,31442.0,66636.0,91.6,Dublin,26121.0,5872.0,55.0,16.9
59862.0,23.1,21808.0,36318.0,23.9,48884.0,80.8,38069.0,28.1,69615.0,San Mateo,36.2,47212.0,3.6,1.09,8138.0,23.9,40.6,50526.0,31811.0,10.8,24661.0,39359.0,60.0,East Palo Alto,15123.0,7848.0,22.0,19.5
39108.0,40.8,15712.0,32890.0,24.0,49183.0,81.9,40524.0,33.7,62949.0,San Diego,42.5,44705.0,4.6,1.07,10076.0,24.0,34.2,66583.0,34784.0,18.3,24756.0,31133.0,80.0,El Cajon,23174.0,5991.0,16.9,18.7
81944.0,4.3,12421.0,45409.0,30.4,129448.0,98.5,100823.0,40.6,148026.0,El Dorado,51.9,86410.0,7.7,1.06,12349.0,30.4,33.1,103516.0,66391.0,52.9,37826.0,48547.0,98.7,El Dorado Hills,39214.0,6244.0,43.6,7.3
31981.0,26.6,18937.0,28232.0,30.3,40951.0,70.4,27895.0,31.6,54948.0,Los Angeles,40.0,41172.0,6.8,1.1,9348.0,30.3,29.0,56382.0,27247.0,9.9,24064.0,22281.0,51.3,El Monte,16589.0,6350.0,19.1,24.1
75495.0,9.4,30357.0,48944.0,22.0,101922.0,98.3,77320.0,39.2,122248.0,Los Angeles,35.8,64196.0,19.3,1.04,12069.0,22.0,30.1,81627.0,65058.0,43.1,36055.0,61667.0,96.7,El Segundo,33050.0,3936.0,65.3,14.8
62181.0,14.3,20692.0,43638.0,30.2,82996.0,93.5,60688.0,34.3,98042.0,Sacramento,54.6,60252.0,6.2,1.1,10347.0,30.2,28.4,75104.0,51882.0,35.1,31440.0,52941.0,90.9,Elk Grove,30351.0,6443.0,35.9,10.8
72829.0,31.5,19643.0,30625.0,28.3,75737.0,97.0,66941.0,35.0,98969.0,Alameda,41.1,59952.0,44.5,1.09,9884.0,28.3,5.9,66693.0,62443.0,61.2,37083.0,62238.0,94.9,Emeryville,28710.0,6019.0,78.9,8.5
78636.0,24.3,23108.0,34701.0,24.5,110268.0,91.7,81669.0,41.5,138230.0,San Diego,54.0,58733.0,10.9,1.04,9285.0,24.5,24.1,86340.0,58492.0,56.1,26184.0,53937.0,94.5,Encinitas,48916.0,5824.0,52.2,10.9
40673.0,20.9,22733.0,40167.0,24.4,80237.0,91.3,57358.0,36.0,83627.0,Fresno,38.6,49698.0,20.5,1.05,7896.0,24.4,16.6,75917.0,36690.0,14.5,35226.0,30129.0,85.6,Escalon,26322.0,1704.0,29.9,24.3
41798.0,26.6,21331.0,34119.0,25.8,54331.0,67.9,38357.0,32.5,73473.0,San Diego,37.8,53422.0,6.2,1.09,9158.0,25.8,33.1,68233.0,33407.0,24.9,27281.0,31075.0,78.8,Escondido,25109.0,4878.0,16.7,23.0
34071.0,36.8,23338.0,25075.0,13.3,50379.0,88.7,36649.0,36.2,59679.0,Humboldt,56.1,33162.0,4.0,1.07,9681.0,13.3,24.3,36336.0,33925.0,22.9,25157.0,25183.0,88.4,Eureka,21646.0,4908.0,20.5,15.7
50850.0,22.9,21753.0,41217.0,27.7,73993.0,86.6,50766.0,33.7,87204.0,Solano,47.8,60028.0,4.4,1.11,8700.0,27.7,34.3,82091.0,44870.0,24.2,29461.0,40989.0,89.1,Fairfield,27038.0,4962.0,20.6,13.5
36117.0,5.6,28750.0,20000.0,14.5,50536.0,89.6,46667.0,47.2,86547.0,Humboldt,48.8,31563.0,4.1,1.03,7697.0,14.5,32.4,52083.0,26316.0,33.6,12171.0,24219.0,97.5,Ferndale,24504.0,1925.0,33.6,14.7
35355.0,27.9,20960.0,37840.0,30.9,65182.0,74.2,39958.0,31.9,75078.0,Ventura,42.2,39545.0,14.3,1.08,8978.0,30.9,31.3,71768.0,41388.0,15.3,27375.0,28871.0,70.2,Fillmore,22214.0,4958.0,16.9,12.2
36858.0,27.1,20134.0,21754.0,21.8,35000.0,51.5,25956.0,26.4,44408.0,Fresno,32.8,59750.0,3.7,1.17,9094.0,21.8,31.6,,20755.0,3.4,20847.0,18649.0,36.9,Firebaugh,17205.0,4933.0,9.9,32.0
70915.0,9.9,24028.0,48938.0,24.4,115588.0,88.3,87481.0,37.6,124172.0,Sacramento,43.7,76933.0,9.7,1.06,10415.0,24.4,28.7,92531.0,64313.0,43.1,31065.0,57320.0,94.8,Folsom,35016.0,4228.0,41.3,17.9
51255.0,19.6,22133.0,38422.0,32.1,65790.0,79.2,42180.0,28.7,76722.0,San Bernardino,44.9,49405.0,3.9,1.1,9456.0,32.1,33.7,61736.0,38370.0,16.1,28454.0,37879.0,69.7,Fontana,20819.0,5675.0,16.0,17.6
31120.0,28.1,15625.0,21736.0,12.6,45833.0,75.1,40300.0,37.4,61022.0,Mendocino,16.3,36603.0,7.6,1.1,8493.0,12.6,42.7,30227.0,36250.0,29.6,21498.0,19854.0,88.2,Fort Bragg,16100.0,4003.0,7.8,33.4
34840.0,27.8,15694.0,31386.0,20.6,47737.0,86.8,43092.0,38.1,67573.0,Humboldt,40.9,41207.0,0.0,1.1,9520.0,20.6,36.1,57188.0,35211.0,17.4,26997.0,26429.0,91.1,Fortuna,21592.0,4241.0,17.1,22.9
92561.0,8.5,34655.0,49474.0,26.0,129834.0,98.0,105449.0,39.3,150857.0,San Mateo,50.2,77806.0,20.7,1.08,8995.0,26.0,20.3,106953.0,80520.0,61.9,32115.0,83144.0,98.3,Foster City,34426.0,8541.0,68.3,8.7
64057.0,18.3,21947.0,40025.0,25.0,90317.0,96.4,60439.0,42.6,107093.0,Orange,53.6,60210.0,12.5,1.05,8192.0,25.0,27.5,76683.0,46885.0,36.9,28577.0,48915.0,89.7,Fountain Valley,28200.0,4556.0,44.5,6.4
33993.0,24.8,18003.0,40313.0,18.7,65787.0,76.2,51164.0,31.6,69944.0,Fresno,53.9,63107.0,7.0,1.08,9564.0,18.7,27.2,79205.0,40264.0,15.7,25594.0,19940.0,62.0,Fowler,14079.0,3048.0,13.1,11.9
71799.0,13.4,25731.0,45338.0,29.7,111667.0,94.8,85550.0,36.8,131041.0,Alameda,47.6,73720.0,16.0,1.07,9818.0,29.7,25.8,102985.0,63366.0,46.8,35396.0,55256.0,91.1,Fremont,27132.0,5739.0,58.3,10.6
43214.0,38.0,15729.0,30500.0,21.7,46511.0,79.6,41024.0,29.3,63846.0,Fresno,49.0,50228.0,4.2,1.08,9972.0,21.7,26.4,65632.0,35130.0,21.8,24542.0,29076.0,75.2,Fresno,23156.0,5478.0,19.1,20.4
59479.0,27.2,17016.0,36739.0,28.1,76760.0,87.9,52941.0,34.8,99667.0,Orange,56.6,49311.0,11.3,1.08,10088.0,28.1,22.9,81768.0,43326.0,39.0,26771.0,44603.0,87.9,Fullerton,28105.0,6136.0,34.3,9.1
47840.0,31.0,20539.0,38373.0,28.5,60504.0,85.8,49388.0,32.4,70673.0,Sacramento,44.8,60556.0,3.5,1.1,11262.0,28.5,41.6,61250.0,39921.0,13.2,30833.0,39209.0,80.5,Galt,23227.0,5178.0,17.9,10.2
49380.0,22.5,20067.0,36499.0,26.4,61890.0,82.5,41109.0,35.6,76125.0,Orange,52.3,44787.0,8.4,1.09,10244.0,26.4,25.0,63577.0,35584.0,15.8,28193.0,36330.0,71.8,Garden Grove,20587.0,5324.0,25.4,14.2
43807.0,24.7,17897.0,32629.0,26.2,55072.0,89.2,43845.0,37.9,70767.0,Los Angeles,49.5,46971.0,6.3,1.06,9160.0,26.2,29.8,65565.0,38426.0,25.5,28636.0,31563.0,80.0,Gardena,25078.0,6652.0,30.2,14.3
62337.0,22.6,19362.0,41225.0,29.6,85877.0,77.8,53446.0,32.4,101793.0,Santa Clara,40.3,77346.0,6.7,1.12,9925.0,29.6,35.9,78138.0,48810.0,27.9,35409.0,41723.0,79.4,Gilroy,28608.0,4567.0,18.4,17.2
55108.0,23.9,18224.0,30163.0,26.5,61352.0,94.3,49563.0,41.0,85884.0,Los Angeles,53.0,47862.0,15.7,1.06,11593.0,26.5,22.6,64630.0,45043.0,37.5,24167.0,37818.0,85.8,Glendale,26563.0,6294.0,46.4,8.7
58193.0,14.6,24929.0,42162.0,31.5,83094.0,94.2,64769.0,40.2,102237.0,Los Angeles,56.1,59224.0,13.4,1.07,11247.0,31.5,24.6,75154.0,46136.0,31.6,27087.0,41630.0,90.9,Glendora,31017.0,4711.0,31.3,5.9
62815.0,29.2,17973.0,31250.0,23.4,47500.0,60.5,36181.0,27.0,54451.0,Monterey,30.8,61141.0,0.0,1.14,5412.0,23.4,31.1,,31651.0,4.3,31030.0,87888.0,41.6,Gonzales,20786.0,6843.0,1.9,38.2
46929.0,20.7,28667.0,43185.0,24.3,81302.0,93.2,52139.0,36.1,97446.0,San Bernardino,47.7,58533.0,6.6,1.07,10527.0,24.3,25.5,57471.0,46031.0,22.9,34804.0,39740.0,86.7,Grand Terrace,25951.0,2914.0,31.9,20.1
47573.0,51.9,17708.0,24771.0,13.3,42644.0,78.4,43034.0,43.2,63372.0,Nevada,39.0,31800.0,3.8,1.08,8776.0,13.3,44.7,42422.0,34330.0,29.5,22401.0,29315.0,91.2,Grass Valley,20257.0,4869.0,19.6,12.4
64081.0,22.5,14793.0,32146.0,26.2,50495.0,62.4,31848.0,25.5,57414.0,Monterey,32.6,44286.0,2.2,1.18,9042.0,26.2,32.0,54583.0,28293.0,8.1,23844.0,61058.0,34.6,Greenfield,25504.0,2785.0,14.9,33.2
58788.0,18.3,18988.0,25909.0,21.7,46763.0,58.4,27530.0,28.2,51954.0,Santa Barbara,35.8,46898.0,2.8,1.19,8330.0,21.7,29.4,63690.0,23969.0,5.9,27614.0,31645.0,42.6,Guadalupe,18894.0,5284.0,6.0,31.9
98085.0,11.3,26380.0,49886.0,28.9,110625.0,75.0,68506.0,43.2,149636.0,San Mateo,37.1,88750.0,5.9,1.09,4951.0,28.9,19.4,74853.0,58545.0,56.6,31170.0,58934.0,85.7,Half Moon Bay,34827.0,20086.0,29.3,37.6
29824.0,22.9,20129.0,29077.0,25.9,43550.0,69.8,30508.0,28.4,52589.0,Los Angeles,47.6,45000.0,0.8,1.13,10887.0,25.9,36.6,18438.0,28225.0,13.3,22990.0,22038.0,53.9,Hawaiian Gardens,11127.0,5772.0,13.6,15.0
43932.0,24.9,21063.0,32608.0,27.6,47709.0,82.2,37558.0,31.5,60926.0,Los Angeles,46.4,43779.0,6.7,1.07,9862.0,27.6,28.0,67792.0,33224.0,17.6,25791.0,34767.0,72.1,Hawthorne,21196.0,5102.0,19.2,18.9
47839.0,19.0,21561.0,36728.0,29.1,68643.0,83.5,45031.0,33.5,85270.0,Alameda,47.5,53307.0,7.7,1.1,9455.0,29.1,28.9,71141.0,44310.0,24.1,31133.0,38305.0,81.1,Hayward,21997.0,5758.0,27.8,15.9
29547.0,25.2,20085.0,27446.0,30.9,42446.0,80.4,37680.0,39.0,52392.0,Riverside,41.4,34975.0,1.7,1.1,9334.0,30.9,35.4,74350.0,30867.0,12.6,24136.0,21722.0,80.7,Hemet,19368.0,4782.0,8.1,21.5
32687.0,33.4,21559.0,36738.0,37.1,48617.0,77.8,44732.0,30.5,58543.0,San Bernardino,43.0,44596.0,2.6,1.17,10362.0,37.1,32.3,58188.0,34024.0,9.5,31095.0,21488.0,77.8,Hesperia,19271.0,4995.0,9.6,22.0
51289.0,32.7,19232.0,39756.0,24.5,59095.0,76.3,46631.0,30.6,76793.0,San Bernardino,39.3,61580.0,6.1,1.1,11505.0,24.5,34.5,80772.0,41912.0,19.0,26845.0,34392.0,72.9,Highland,30456.0,6142.0,19.6,20.1
132217.0,25.4,18162.0,77031.0,24.7,,94.9,160307.0,47.5,387313.0,San Mateo,46.9,87679.0,25.3,1.07,6575.0,24.7,27.8,161064.0,124375.0,78.4,21111.0,101442.0,98.6,Hillsborough,42946.0,15992.0,80.0,0.0
52268.0,10.9,19104.0,32750.0,24.1,47857.0,100.0,30833.0,42.2,55973.0,Humboldt,53.5,31442.0,0.0,1.11,11662.0,24.1,34.8,47813.0,37554.0,17.4,35844.0,39769.0,84.2,Humboldt Hill,19149.0,7737.0,13.3,11.7
73095.0,23.2,20390.0,44497.0,27.1,97443.0,92.9,72084.0,40.2,122851.0,Orange,57.1,65085.0,8.8,1.05,10556.0,27.1,24.1,82516.0,52275.0,41.1,35853.0,54078.0,93.2,Huntington Beach,34980.0,6383.0,41.2,10.0
