County,Jurisdiction,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Diversity_Index,Voter_Registration_Rate,Rep_Dem_Ratio,Major_Minor_Crime_Ratio,Percent_Violent,TotCrime/1000People,Crime_Index,HH_Income_Ratio,Fam_Income_Ratio,gMean_Income_Index,PerCapitaIncome_Index,Travel_Time_Index,gMedian_Income_Index,MF_MedianEarnings_Index,Solar_ResUnits/Person,Solar_ResUnits/HH
San Bernardino,Adelanto,6.9,3.2,40.6,22.0,0.6939223855616252,0.2894695419486857,0.41821436562989484,0.1106763555058692,9.96477101157524,62.55312450810641,0.19146964318915072,2.249584026622296,2.185185185185185,0.4206893577752812,0.29977233629158245,0.8228296402628976,0.5766757110916645,0.5757910879954216,0.001668503069416024,0.00805593555251558
Los Angeles,Agoura Hills,7.0,5.5,15.2,9.9,0.2852996390835041,0.6363994097393015,0.8406050029086678,0.030694668820678513,2.9780564263322886,31.382193802262666,0.2640599389077093,0.097842341380047,0.09724349157733538,0.522692734935055,0.6960020642738621,0.6863454693317009,0.7917016217714992,0.7461439353482228,0.0190850959173635,0.06937242982299302
Alameda,Alameda,5.5,2.6,21.4,8.2,0.7038474456801469,0.5920582019183872,0.2572046409115482,0.041350431824129806,3.970846946468962,53.907223757654585,0.07357899551957374,0.3191446303291959,0.19120817321210984,0.5013481655499391,0.6438526396413246,0.6762733895900146,0.7274132572505899,0.6950011887888904,,
Alameda,Albany,5.0,1.9,19.3,8.4,0.6640599021943674,0.5618426020820972,0.09845182624379979,0.025869759143621766,2.5217391304347827,62.03139327903339,0.28518024282534826,0.3010015814443859,0.20615287028227086,0.3689694035651457,0.6350448408638214,0.7001603706835552,0.7260863021539179,0.7218188201266312,0.005016451804304439,0.018678449487848966
Los Angeles,Alhambra,3.8,2.4,14.4,8.6,0.7561159995685212,0.450673374333546,0.39651575801995825,0.04585091420534459,4.384077461000538,44.74719878684302,0.06572794834130917,0.6338761598182162,0.46812970040685487,0.48597311583935704,0.5199299571671471,0.68833917698432,0.6512064431337933,0.6144285304933724,0.0012877757585239924,0.005195688064484802
Orange,Aliso Viejo,3.3,2.1,9.4,5.6,0.47187691978689206,0.5121803316395876,1.3561396189681547,0.03949447077409163,3.7993920972644375,13.75906990360287,0.11329136881205881,0.1038536903984324,0.07112597547380156,0.5457525804753995,0.6642239487126952,0.6050417236752049,0.790301115360143,0.7310799397092488,0.00393116282960082,0.01551795295088733
Alpine,Alpine,14.5,8.3,24.0,19.5,0.23501428691994242,0.05366676032593425,0.7881944444444444,,,,,0.277037037037037,0.14253996447602132,0.5185996575966468,0.6407816157448416,0.7249793894799234,0.7086292085578197,0.6956314221740187,,
Modoc,Alturas,6.8,5.3,14.5,8.7,0.25632760250998243,0.5532366466218607,1.3333333333333333,0.19718309859154928,16.470588235294116,60.13441811107181,2.4032959487296868,2.1750972762645913,0.6916666666666667,0.44133215430806705,0.461025131649162,0.019121677676994596,0.5530041491194911,0.6007955306955218,,
Amador,Amador City,7.7,4.3,24.1,13.9,0.14387143900657406,0.7351351351351352,1.1914893617021276,,,,,1.7083333333333333,0.75,,0.6010124707188066,0.8228296402628976,0.4854431019710305,0.7264580856215779,0.010810810810810811,0.0425531914893617
Napa,American Canyon,6.9,2.9,42.5,17.6,0.7577461808217637,0.4712655495013879,0.34057818105085463,0.05283757338551859,5.018587360594796,55.30996196155032,0.2842469300376104,0.21497740477727567,0.14380918975797966,0.502775372121709,0.5485353451135514,0.7342507917668316,0.7241580381705941,0.6623066017083694,0.002775778760152154,0.011706048124864513
Orange,Anaheim,8.2,5.7,16.3,11.6,0.657569253415099,0.3617712221016163,0.9334589641952044,0.05867996053383185,5.5427478294991905,60.62777868645265,0.016610909065851335,0.48615566219302525,0.3973899059871351,0.4740077404477778,0.4954512679347365,0.640665556178837,0.6628818516078852,0.5955950008203386,8.921535098806e-05,0.000403801114491076
Contra Costa,Antioch,4.2,2.8,22.1,14.8,0.7015149285524929,0.4244617668893838,0.34854874720912926,0.10585207564059528,9.57199231002732,96.54006955026765,0.05865623061969774,0.4365885044323706,0.3095779631033611,0.487532664709198,0.5093178772570426,0.8698718475252489,0.6684261006520388,0.6453127135193177,0.004141757511819638,0.01694441114174959
San Bernardino,Apple Valley,6.6,3.6,36.0,20.2,0.49675173239344395,0.5207781876039632,1.5568745742921086,0.05763239875389408,5.44918998527246,49.106819989874886,0.08099241915643264,0.8465503568596352,0.626812135704678,0.46141800887683226,0.490285379944585,0.6863454693317009,0.6021168955570322,0.6362273843101133,0.01648947711000217,0.06437041219649915
Los Angeles,Arcadia,9.3,5.9,21.9,13.6,0.691460237034758,0.5313675395642609,1.1944116953548691,0.02533728200065811,2.4711168164313224,55.28351429990774,0.09320719194664354,0.3296255834740292,0.19801645441226193,0.5436669089493753,0.6295724251139336,0.68833917698432,0.703103540875586,0.684523132421723,0.008782201405152224,0.032989003665444855
Humboldt,Arcata,3.7,2.8,6.3,5.1,0.32356064085592007,0.5854564447797574,0.2322885358522971,0.039504716981132074,3.800340328984685,102.31559398758053,0.3161801305690621,2.0978689818468825,0.6866515837104072,0.42153501346045985,0.4387766312387766,0.2939917761507116,0.5483251531430853,0.5893875526152861,0.001624978236898613,0.010666666666666666
Kern,Arvin,3.0,2.8,15.9,17.7,0.5589436016129651,0.19550352258599255,0.22212618841832324,0.10179640718562874,9.23913043478261,85.78532946539578,0.3096902646894539,2.6146496815286624,2.627599243856333,0.3662988572916545,0.28156874043927105,0.6096155425757467,0.534198347817365,0.47898150415993435,0.0012432656444260257,0.006309148264984227
San Mateo,Atherton,11.4,5.0,48.9,22.0,0.34645542756000025,0.7085623372866647,1.2964401294498382,0.04329004329004329,4.149377593360996,34.856812264969626,0.7891859322056276,0.07632743362831858,0.0625,0.693952218647794,0.9518589071446028,0.5572150226954917,,0.9165604959103658,0.01822389354932022,0.06589958158995816
Placer,Auburn,7.4,5.2,10.6,10.1,0.2049367180504803,0.6339084771192798,1.344414379590259,0.08019639934533551,7.424242424242424,49.51237809452363,0.43590443065311785,0.4778284293410692,0.22328148519819369,0.4506276617300534,0.6107528536867173,0.5265153599112197,0.6705070143452557,0.655590370457087,0.037434358589647415,0.1436384571099597
Los Angeles,Avalon,7.1,6.2,14.7,10.5,0.5197440146714805,0.4573497854077253,0.8893939393939394,0.022598870056497175,2.2099447513812156,48.55150214592275,1.4078913048633013,0.49673202614379086,0.3593314763231198,0.45986114692159924,0.5419153327964893,0.10632244222245148,0.6670154560371798,0.5747072787684415,0.0029506437768240345,0.012345679012345678
Kings,Avenal,4.4,2.9,25.9,18.2,0.6214883819504189,0.10770719122863592,0.4994413407821229,0.20945945945945946,17.318435754189945,23.08932602386327,0.4395770692099683,5.222689075630252,8.409090909090908,0.4098421159329333,0.21599432754632347,0.7415632251393582,0.48843683848011904,0.4666782697936434,0.000709448564979039,0.005863539445628998
Los Angeles,Azusa,6.3,4.2,18.7,14.1,0.6033454928653034,0.3977049675373698,0.5304398826979472,0.11171662125340599,10.049019607843137,52.803002523672916,0.13005353130229896,0.7082255561303673,0.5117939168218498,0.4573553195972206,0.4277151940188268,0.6701455687183174,0.6208759800592197,0.5672119631025896,0.000388257371497595,0.0018751953328471716
Kern,Bakersfield,5.4,3.9,14.2,11.2,0.6172179635245636,0.4435411228750759,1.1362200506160751,0.05490671476301706,5.204888166377039,102.67552657252297,0.015991935826069295,0.6298519308514596,0.4998341425168119,0.48058614330842503,0.49451349519823495,0.5446193079749602,0.6510664930155167,0.6159543009405773,0.010081068714152923,0.04212665656492772
Los Angeles,Baldwin Park,5.0,3.7,26.2,14.9,0.6707382494435223,0.39434938320732194,0.3083416708354177,0.08005822416302766,7.412398921832884,39.3686165273909,0.07657843186678151,0.6505524861878453,0.612153708668454,0.4399753274352694,0.3848940313804215,0.7287056572406659,0.6045313878133398,0.5553927327660633,0.0008223902374320201,0.004091059056417024
Riverside,Banning,6.1,4.2,30.7,29.8,0.5472980813265541,0.40685065702800394,1.0796421557931486,0.07982673267326733,7.392550143266476,58.94672837212445,0.1949388115720867,1.6938592559390409,1.0017391304347827,0.4685639828728698,0.4628499288410922,0.5695444231821336,0.5812510428261967,0.5710246668764062,0.0012160929635509914,0.005009741163373225
San Bernardino,Barstow,8.9,5.3,30.6,16.5,0.6630435046222909,0.37280798621847255,0.7054172767203514,0.14484503478810878,12.651933701657459,79.95052785017006,0.28003794361609885,1.4238442822384427,0.9408009286128846,0.4418470939924367,0.45284863564447864,0.5792236316168569,0.580685780216021,0.591407731567059,0.010689518088254782,0.04470718640310364
Riverside,Beaumont,9.7,3.7,42.1,24.2,0.5702733972208016,0.4215364590395097,1.2317637977614821,0.03266717909300538,3.1633792333457387,72.8638446728313,0.14492095596281057,0.3310892456412912,0.20813204508856684,0.5271036859330669,0.526946636810604,0.7397436950504978,0.6823716912321618,0.6694068670686407,0.009463893483743255,0.03747852233676976
